# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
ci shen 	刺身	c=1 d=1 t=825
cong 	從	c=2 d=1.16447 t=1299
cong you bing 	蔥油餅	c=1 d=1 t=1686
cun 	寸	c=3 d=0.661535 t=2427
cun 	村	c=1 d=1 t=1496
cuo 	搓	c=1 d=1 t=1642
cuo wu 	錯誤	c=1 d=1 t=1998
da 	打	c=1 d=1 t=1573
da bu kai 	打不開	c=1 d=1 t=2237
da fang 	大方	c=2 d=0.305746 t=2427
da gong si 	大公司	c=1 d=1 t=1858
da jia 	大家	c=1 d=0.0356146 t=2427
da kai 	打開	c=2 d=1.95123 t=866
da zhang 	大漲	c=1 d=1 t=1314
da zhong 	大中	c=0 d=0.1 t=1618
da zhong tai 	大中臺	c=1 d=1 t=1619
dai 	代	c=0 d=0.1 t=2367
dai 	帶	c=0 d=0.1 t=1600
dai hui 	待會	c=1 d=1 t=2195
dai pian le 	帶偏了	c=1 d=1 t=1601
dan bai 	蛋白	c=1 d=1 t=975
dan ge 	單個	c=1 d=0.217621 t=2427
dang 	當	c=1 d=1 t=1921
dao 	到	c=6 d=0.874849 t=2427
dao ru 	導入	c=1 d=1.02312 t=790
dao shi 	倒是	c=3 d=1.09212 t=2427
dao wei 	到位	c=1 d=1 t=1653
dao zhi 	導致	c=1 d=1 t=786
de 	的	c=104 d=8.33811 t=2427
de ba 	的吧	c=1 d=0.489192 t=2427
de hua 	的話	c=3 d=0.839491 t=2427
dei 	得	c=6 d=2.83429 t=2356
deng 	等	c=1 d=1.00063 t=2187
deng dao 	登到	c=1 d=1 t=1173
deng lu 	登錄	c=4 d=0.619711 t=2427
deng wo 	等我	c=1 d=1 t=1109
deng yi xia 	等一下	c=1 d=1 t=1612
di 	低	c=1 d=1 t=1399
di duan 	低段	c=0 d=0.1 t=1226
di duan ji 	低段機	c=1 d=1 t=1227
di er 	第二	c=1 d=0.909373 t=2427
di fang 	地方	c=1 d=0.980199 t=2427
di yi ci 	第一次	c=1 d=1 t=1930
di yi ge 	第一個	c=1 d=1 t=1049
dian 	點	c=2 d=0.269828 t=2427
dian chi 	電池	c=1 d=1 t=1157
dian nao 	電腦	c=5 d=0.831104 t=2427
dian zi ban 	電子版	c=1 d=1 t=1745
diao cha 	調查	c=1 d=1 t=2101
diao yu 	釣魚	c=0 d=0.0311923 t=2427
diao yu nai 	釣魚乃	c=1 d=0.313486 t=2427
ding le 	訂了	c=1 d=1 t=1004
ding shang 	盯上	c=0 d=0.15599 t=2382
ding shang la 	盯上啦	c=1 d=1 t=2267
dong li 	動力	c=1 d=1 t=1069
dong tian 	冬天	c=1 d=0.0426384 t=2427
dong xi 	東西	c=6 d=0.477792 t=2427
dou 	都	c=15 d=0.985853 t=2427
dou shi 	都是	c=10 d=1.44786 t=2427
du jia 	度假	c=1 d=0.891366 t=2427
du wang 	毒王	c=1 d=1 t=1135
duan kou 	端口	c=1 d=0.0558548 t=2427
duan shi jian 	段時間	c=0 d=0.0241714 t=2427
duan wang 	斷網	c=1 d=1 t=2246
dui 	對	c=2 d=1.01203 t=2349
dui yu 	對於	c=1 d=0.0812682 t=2427
duo 	多	c=4 d=0.47214 t=2427
duo ge 	多個	c=1 d=0.425283 t=2427
duo hang 	多行	c=0 d=0.1 t=1849
duo le 	多了	c=1 d=0.114178 t=2427
duo shao 	多少	c=1 d=0.286505 t=2427
e 	額	c=2 d=0.257947 t=2427
e du 	額度	c=1 d=0.136695 t=2427
e luo si 	俄羅斯	c=1 d=1 t=2119
en 	恩	c=8 d=2.77129 t=2427
en dian 	恩典	c=0 d=0.1 t=2076
er ming 	耳鳴	c=1 d=0.814647 t=2427
er qie 	而且	c=1 d=0.839457 t=2427
er yue 	二月	c=1 d=1 t=1167
fa 	發	c=7 d=2.34312 t=2427
fa xian 	發現	c=3 d=1.3221 t=1495
fan ye 	翻頁	c=2 d=1.98511 t=2427
fan yi 	翻譯	c=1 d=1 t=1506
fan ying 	反應	c=1 d=0.856415 t=2427
fan zheng 	反正	c=5 d=1.38064 t=2412
fang qi 	放棄	c=1 d=0.154124 t=2427
fei 	非	c=1 d=0.995012 t=2427
fei dian 	非典	c=1 d=1 t=1261
fei yan 	肺炎	c=1 d=1.00127 t=1693
fen 	粉	c=0 d=0.1 t=1221
fen pei 	分配	c=1 d=1 t=1386
fen xiang 	分享	c=1 d=0.0941765 t=2427
fen zhi 	分治	c=1 d=1 t=1949
feng kuang 	瘋狂	c=1 d=1.05741 t=1131
feng le 	封了	c=1 d=1 t=2241
feng le 	瘋了	c=0 d=0.1 t=1127
feng wang 	封網	c=1 d=1 t=972
fu dan 	復旦	c=1 d=0.99005 t=2427
fu gong 	復工	c=1 d=1 t=1620
fu hao 	符號	c=1 d=0.99005 t=2427
fu huo 	福禍	c=1 d=1 t=1596
fu jin 	附近	c=1 d=1 t=1615
gai 	該	c=2 d=0.0566989 t=2427
gai le 	改了	c=2 d=1.25795 t=2028
gan 	幹	c=3 d=1.02035 t=2142
gan ga 	尷尬	c=2 d=1.38098 t=2397
gan jin 	趕緊	c=3 d=2.28941 t=2424
gan jue 	感覺	c=8 d=1.55152 t=2361
gan mao le 	感冒了	c=1 d=0.0359725 t=2427
gan ran 	感染	c=1 d=1 t=1692
gan ren 	趕人	c=1 d=1 t=1377
gang 	剛	c=1 d=1 t=2337
gang gang 	剛剛	c=7 d=2.36667 t=2298
gang qin 	鋼琴	c=1 d=0.0605068 t=2427
gao 	搞	c=1 d=0.146888 t=2064
gao ding 	搞定	c=0 d=0.1 t=1738
gao ding la 	搞定啦	c=1 d=1 t=1739
