# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
bu yao 	補藥	c=1 d=1 t=4557
bu ying gai 	不應該	c=3 d=0.139631 t=4960
bu ying xiang 	不影響	c=1 d=1 t=4459
bu yong 	不用	c=4 d=0.63459 t=4960
bu zai 	不在	c=1 d=1 t=4257
bu zhi dao 	不知道	c=16 d=0.98921 t=4960
bu zhi dao ne 	不知道呢	c=4 d=1.11389 t=4960
cai 	才	c=6 d=0.116994 t=4960
cai dan 	菜單	c=1 d=1 t=3812
cai hong 	彩虹	c=0 d=0.1 t=2778
cai hong tian tang 	彩虹天堂	c=1 d=1 t=2779
cai kan dao 	纔看到	c=1 d=1 t=2679
cai xing 	才行	c=1 d=0.00660453 t=4960
can jia 	參加	c=4 d=0.23457 t=4960
can shu 	參數	c=1 d=1 t=4444
cang pai 	藏牌	c=1 d=1 t=3874
cang qi lai 	藏起來	c=1 d=0.0478349 t=4960
cao zuo 	操作	c=1 d=1 t=4185
ce 	測	c=1 d=1 t=4868
ce shi 	測試	c=2 d=0.490188 t=4960
ce shi guo 	測試過	c=1 d=0.172045 t=4960
ce shi le 	測試了	c=1 d=1 t=4830
cha 	差	c=0 d=0.0106459 t=4960
cha 	查	c=1 d=0.0636311 t=4960
cha bu duo 	差不多	c=1 d=0.467666 t=4960
cha bu tai duo 	差不太多	c=1 d=0.106992 t=4960
cha guan 	插管	c=1 d=0.000685748 t=4960
cha jian 	插件	c=1 d=0.0977834 t=4960
cha le yi xia 	查了一下	c=1 d=0.527292 t=4960
cha ru 	插入	c=2 d=1.00374 t=3855
chan fu 	產婦	c=1 d=1 t=4498
chan pin 	產品	c=1 d=1 t=3472
chang 	唱	c=1 d=1.08395 t=4161
chang chu sheng 	唱出聲	c=1 d=1 t=4127
chang fang xing 	長方形	c=2 d=1.00549 t=4473
chang yong 	常用	c=1 d=0.927744 t=4960
chang yong ci 	常用詞	c=0 d=0.1 t=4727
chang yong ci ku 	常用詞庫	c=1 d=1 t=4728
chang yong zi mu 	常用字母	c=1 d=0.000274654 t=4960
chao 	朝	c=1 d=1 t=3978
chao cai 	炒菜	c=1 d=1 t=2777
chao man 	超慢	c=1 d=0.00098783 t=4960
chao you yu 	炒魷魚	c=0 d=0.0282239 t=4960
che 	車	c=1 d=1 t=4680
chen 	陳	c=1 d=0.00329527 t=4960
chen qiu shi 	陳秋实	c=1 d=0.000320701 t=4960
chen yi xun 	陳奕迅	c=3 d=2.50885 t=3668
cheng 	成	c=0 d=0.1 t=4452
cheng 	撐	c=0 d=0.1 t=4706
cheng ben jia 	成本價	c=1 d=1 t=4408
cheng bi li 	成比例	c=1 d=1 t=4453
cheng bu zhu 	撐不住	c=1 d=1 t=3659
cheng qian shang wan 	成千上萬	c=1 d=0.00224287 t=4960
cheng shu 	成熟	c=2 d=0.0773047 t=4960
chi 	吃	c=5 d=1.0321 t=4960
chi de 	吃得	c=0 d=0.1 t=4711
chi de hao 	吃得好	c=1 d=1 t=4712
chi fan 	吃飯	c=1 d=1 t=3375
chi le 	吃了	c=1 d=0.316637 t=4960
chi sha 	吃啥	c=1 d=0.239309 t=4960
chi xu 	持續	c=1 d=0.818731 t=4960
chong chong 	重重	c=0 d=0.1 t=2649
chong fu 	重複	c=1 d=1 t=3265
chong qi 	重啓	c=2 d=0.398519 t=4960
chong qing 	重慶	c=0 d=0.0918512 t=4960
chong qing xiao 	重慶小	c=1 d=0.923116 t=4960
chong xin 	重新	c=2 d=0.597501 t=4960
chou 	丑	c=1 d=1 t=4719
chou jiang 	抽獎	c=1 d=0.00860854 t=4960
chu 	出	c=1 d=0.00116504 t=4960
chu fei 	除非	c=1 d=0.449329 t=4960
chu ge 	出個	c=1 d=0.000593188 t=4960
chu lai 	出來	c=1 d=0.00300114 t=4960
chu lai le 	出來了	c=3 d=0.0682804 t=4960
chu le 	出了	c=1 d=1 t=3633
